"","1796","1797","1798","1799","1800","1801","1802","1803","1805","1807","1808","1809","1811","1812","1813","1814","1815","1816","1819","1820","1823","1824","1826","1827","1830","1831","1832","1834","1835","1837","1838","1840","1841","1843","1844","1845","1846","1847","1848"
"[Collinsella] massiliensis",0,0,0.000761057142857142,0,0,0,0,0.00233442863812653,0,0,0.000386100022062858,0.00154161437380654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362833724652392,0,0,0.0612539676435375,0,0,0,0,0,0,0,0,0,0,0,0,0.00900231415710978,0,0,0,0,0,0
"Acidaminococcus intestini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000840171536593483,0,0,0,0,0,0,0,0,0,0,0.0032654144723094,0,0,0,0,0,0,0,0,0,0,0.0356131321327418,0,0
"Adlercreutzia equolifaciens",0.00594304362124847,0.000144300020614288,0.0009906,0,0.00094324284366796,0.000544885722069796,0,0.00401811440051755,0,0,0.000757157186123266,0.000318128589607348,0.0038849574203541,0,0.00408385766792457,0,0,0,8.63571514928581e-05,0.00102681446173962,8.13428548187755e-05,0,0,0,0.000668571447673471,0,0.000265757116281431,0.000723171345923274,8.96999987185715e-05,0.000322028562227755,0,0,0.000186085711627347,0.00064572849763103,0,0,0.0015120858654943,0,0.000433457105703675
"Agathobaculum butyriciproducens",0.0260737319237655,0.172977281853897,0.0112230857142857,0.0215759155186237,0,0.0419333577419051,0.00639377142857142,0.00149035718543878,0.00183467148099061,0.000674700057831435,0.0024625715692898,0.00768300043902862,0.0143157867368419,0.000148757149232449,0.00153715734049166,0.001131,0,0.00386545648020746,0.000578314343545719,0.00331667199714377,0.00051591427097388,0.000512571421248978,0.0148913144984473,0.00293391399232289,0.00124187146405347,0,0.0053318566096715,0.00192325692305635,0.00685842847345102,0.00223692850751633,0.0107628841767308,0.00164970014140287,4.1228570839592e-05,0.0175171265694713,0.00395404297011551,0.00140232839112921,0.00835770083577008,0.00868641403753102,0.0028676140399188
"Aggregatibacter segnis",0,0,0,0.00222188584125062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000283585681875922,0,0,0,0,0
"Akkermansia muciniphila",0.0197941739735367,0.000174385739197963,0.0302528571428572,0,0,0.0655974437942491,0,0.0613737446106782,0,0.0585813478784013,0,0.00090535719459184,0,0,0,0.00184302857142857,0.00393398582668529,0,0.0121212012121201,0.00794262993302228,0.0197858137204053,0.063832970516672,0.733840167626288,0.000206699979330002,0.0560251730292907,0.000834042904802453,0,0,0,0,0,0,0,0.0182581264847855,0.0329633580846674,0,0.00102625724548287,0.000821228547964898,0
"Alistipes finegoldii",0.024538803154989,0.0013822716260388,0,0.000870257192586124,0.363497266235754,0.0822788583182693,0.00770584285714285,0.0283797436679927,0.287888536796816,0.00158172870700532,0.129863321706476,0.125200035725716,0.00953605782400413,0.0149136006391543,0.0190843738822766,0,0.0918282883379511,0.00850534139908432,0.0618985776184292,0,0.00918394259474449,0.0509807992717027,0,0,0.0660960876027453,0.0188737725070727,0,0.0332664390552641,0.0148539855020859,0.00128309996334,0.00154328549381636,0.0103996294628254,0.214920082643999,0.00427439951149719,0.000274114293546123,0.000676371341609398,0.0290371743322888,3.89999988857143e-05,0.0113066561737152
"Alistipes indistinctus",0.00263807176775208,0.000820114402873486,0,0.00146528579801633,0,0.0485059721215138,0.000327042857142857,0.0311298008894229,0,0,0.0164970009426858,0,0.00159120011365715,0.000449614304983471,0.0244251459975188,0.0199485,0.0076055573601588,0,0.00513574337071719,0.0438460360878918,0.00074712855008204,0.0229253139582098,0,0,0,0.0287619445006825,0.00741278497300723,0,0.00405934279915226,0,0.000768857033020424,0,0.0396964280043369,0,0.0018708857677396,0.0239888969157132,0.0344743320188618,0,0.0223481123701618
"Alistipes inops",0.966766667155715,0,0,0.00234501441971511,0.0708039418456578,0,0,0.0122538003501086,0,0.127579039506775,0.202294125845379,0,0.00427217173372653,0,0,0,0.0127167860776224,0,0,0.0316485054254581,0.000740999978828573,0,0,0.237942876205712,0,0.00976002912914453,0,0.274302568651135,0,0.0528238270621764,0,0,0.0160969711986147,0.109524801768594,0.0409867725996222,0,0.428681914296765,0.319713076579627,0.0224684552169895
"Alistipes onderdonkii",0.0107272299506438,0,0,0,0.00441201422268551,0,0,0,0.0125190003576857,0.00023790002039143,0,0,0.000973885783848986,0,0.00732308665582541,0,0,0.00352894225218133,0,0,0,0,0,0,0,0,0,0.228225745345629,0,0,0,0,0,0.000963857032702052,0.00301971437199184,0,0.00779888649417435,0,0
"Alistipes putredinis",0.00304255753404311,0.209740358534337,0.794225528571427,0.357972106169835,0.726285846767344,1.04898022927115,0.254984228571428,0.887320782494878,0.465939141883975,0.285199224445648,0.000285257159157552,0.108079034747373,0.454808561057756,0.280313626299155,0.155017219930785,0.268062042857143,0.443938126969662,0.417179028483594,0.320452446330959,0.0677402258983246,0.398132602910496,0.650211890711257,0,0,0.39787021136772,0.628392550193862,0.490511308091727,0.00072762848827103,0.18682782590246,0.699321237162249,0.675046446421936,0.319839027414774,0.787138660183734,0,0.00101121431460612,0,0.00590905773376292,0,0.472242045236395
