"","1796","1797","1798","1799","1800","1801","1802","1803","1805","1807","1808","1809","1811","1812","1813","1814","1815","1816","1819","1820","1823","1824","1826","1827","1830","1831","1832","1834","1835","1837","1838","1840","1841","1843","1844","1845","1846","1847","1848"
"Acidaminococcaceae",0.0268620891679829,0.0180029597147085,0.0597095571428573,0,0.0125652426776394,0,0.0218154857142857,0.0895367597010502,0.0100051717144335,0,0.0195952725483013,0.00523547172774124,0.0253828732416338,4.3457144719592e-05,0.055681978587683,0.0518120571428573,0.0889222311120637,0.00637817033517082,0.0222795879422445,0.0650141254309931,0.0414586702440382,0.181499868835716,0,0,0,0.0032654144723094,0.030028325568596,0.00026742854086531,0.0201992139971541,0.0246162421538216,0.00199289971530004,0.0321482598984223,0.01214849982645,0.128627556728279,0.160165761719022,0,0.0522616766547391,0,0.00944189919069435
"Actinomycetaceae",0,0,0,0.000403371451621226,0,0.000230100003287143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000685285831763286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180514265084084,0,0,0,0,0
"Akkermansiaceae",0.0197941739735367,0.000174385739197963,0.0302528571428572,0,0,0.0655974437942491,0,0.0613737446106782,0,0.0585813478784013,0,0.00090535719459184,0,0,0,0.00184302857142857,0.00393398582668529,0,0.0121212012121201,0.00794262993302228,0.0197858137204053,0.063832970516672,0.733840167626288,0.000206699979330002,0.0560251730292907,0.000834042904802453,0,0,0,0,0,0,0,0.0182581264847855,0.0329633580846674,0,0.00102625724548287,0.000821228547964898,0
"Atopobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0.000283028591644899,0,0,0,0,0,0,0.000217842894487353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424542899597146,0,0
"Bacillales unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212828547105309,0,0,0.000176057117706126,0,0,0,0,0,0,0,0
"Bacteroidaceae",1.96563813843919,0.660526380075197,2.64199817142857,2.39374659392838,2.67252343324967,1.92860964183728,4.3008147,2.22339842066853,2.77735387935297,4.491869956446,2.17523348144191,3.10973092055605,3.10868576490612,2.96808621291798,1.00021920002818,3.57555398571428,1.4124296117837,3.85156301116063,4.19161344773277,0.55476005224458,3.74852166432795,2.82506134535627,1.5426511506093,3.75657768148509,1.76824835052138,2.4510955400626,3.10106741846469,2.59722030317482,2.55263242067668,2.78926376316389,1.83991778001175,4.20313621741168,2.90967407271894,1.00574302791508,3.5371329582038,0.102168844006863,2.99640149964015,1.66252370964218,3.52201559811295
"Barnesiellaceae",0.115511329137171,0.0225303032186147,0.0193919142857143,0.00467665741009471,0.0327432852465245,0.0995887299941247,0.0120482142857143,0.0237359578210274,0.0128839289395408,0.0110721009490372,0.591378205221612,0.122463906997938,0.0908555207753944,0.237593581611153,0.160186949166894,0.0673045285714285,0.0293341294095466,0.248347500283286,0.0755892504160679,0.084277343018973,0.0204716565579527,0.326181509625979,0,0.193300694955645,0.3136914946769,0.249112514235001,0.00718992785243577,0.137710655690211,0.110808469845593,0.158702695465637,0.105171842118308,0.124538153531842,0.175480497493136,0.0441953520919599,0.153547461529928,0.00154774265814737,0.134870927772807,0.758654164038451,0.141955530689526
"Bifidobacteriaceae",0.006495172263665,0.0150400735771534,0.00110982857142857,0.00145358579734776,0.000174942854643673,1.18842027412029,0.00211045714285714,0.0274738293563951,0.0677552590787217,0,0.000104185720239184,0.0139330293676017,0.0523714323122452,0,0.00210711455662901,0,0.00168480004813714,0.000220628533606537,0,0,0.00868139975196,0.0173332711809533,0.0194298002775686,0.00122459987754001,0.0338664866818996,0.000683057181888982,0.00512125663073149,0.0114292272652312,0.116515841192631,0,0.102362728233896,0,0.00081119998841143,0.0463994089829247,0,0,0,0.0493411271616822,0.0124749846450013
"Campylobacteraceae",0,0,0,0.000196671439809796,0,0,0,0,0,0,0,0,0,0,0,0,0.00106971431627755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Gastranaerophilales unclassified",0,0,0,0,0,0,0,0,0,0.00092764293665511,0,0,0,0,0.0080429153198034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285535738760206,0,0,0,0,0,0,0
"Catabacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000203357163192859,0,0.000162128557531838
"Christensenellaceae",0,0,0,0,0,0,0,0.00088195716805592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046688570761592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271328598561431,0,0
"Clostridiaceae",0.0391002907414659,0.0153114021873432,0.00383648571428572,0.0189930010853143,0.00395961422914837,0.0273679718195424,0.00101121428571428,0.0180603433731527,0.00489561442558898,0.0093321436570409,0.0140901436622939,6.35142893436737e-05,0,0.00468334305785756,0.0176848308451925,0.00617871428571427,0.158989075971116,0.0110559409618387,0.00495522906695148,0.0171839600886789,0.000426214273536734,0.00225029996785286,0,0,0.00635421446726326,0.016464686655125,0.0154306270283659,0.00297569965992004,0.00575082848927388,0.00932824259062164,0.0440477079931846,0.00123685724887348,0.00144634283648081,0.0807422479151717,0.00188537148243919,0.0144857124232655,0.00244474310161717,0.0137123996082172,0.00189261412349022
